TimeStamp,CPI,CMR
1418432698.000,2.703,0.211
1418432699.000,2.737,0.218
1418432700.000,2.721,0.220
1418432701.000,2.651,0.235
1418432702.000,2.763,0.224
1418432703.000,3.164,0.148
1418432704.000,2.971,0.175
1418432705.000,3.019,0.187
1418432706.000,3.195,0.167
1418432707.000,2.927,0.209
1418432708.000,2.844,0.236
1418432709.000,2.881,0.241
1418432710.000,2.833,0.250
1418432711.000,2.898,0.250
1418432712.000,2.913,0.244
1418432713.000,2.905,0.249
1418432714.000,2.926,0.249
1418432715.000,2.914,0.246
1418432716.000,2.980,0.233
1418432717.000,2.949,0.246
1418432718.000,2.888,0.243
1418432719.000,2.868,0.240
1418432720.000,3.250,0.157
1418432721.000,3.494,0.126
1418432722.000,3.125,0.197
1418432723.000,2.899,0.234
1418432724.000,3.359,0.157
1418432725.000,3.548,0.140
1418432726.000,3.335,0.160
1418432727.000,3.389,0.167
1418432728.000,2.937,0.215
1418432729.000,2.992,0.210
1418432730.000,2.920,0.234
1418432731.000,2.980,0.223
1418432732.000,2.865,0.247
1418432733.000,2.889,0.253
1418432734.000,2.871,0.246
1418432735.000,2.884,0.243
1418432736.000,2.934,0.212
1418432737.000,2.785,0.254
1418432738.000,2.851,0.240
1418432739.000,2.707,0.247
1418432740.000,2.824,0.241
1418432741.000,2.822,0.233
1418432742.000,3.387,0.137
1418432743.000,2.954,0.206
1418432744.000,3.267,0.151
1418432745.000,3.323,0.143
1418432746.000,3.406,0.143
1418432747.000,2.915,0.231
1418432748.000,2.908,0.245
1418432749.000,2.936,0.239
1418432750.000,3.212,0.195
1418432751.000,3.329,0.158
1418432752.000,3.161,0.179
1418432753.000,3.189,0.190
1418432754.000,3.127,0.193
1418432755.000,3.053,0.185
1418432756.000,3.387,0.142
1418432757.000,3.374,0.150
1418432758.000,3.133,0.187
1418432759.000,2.929,0.216
1418432760.000,2.917,0.243
1418432761.000,2.842,0.250
1418432762.000,3.583,0.152
1418432763.000,3.172,0.137
1418432764.000,2.991,0.198
1418432765.000,3.118,0.182
1418432766.000,3.118,0.187
1418432767.000,2.941,0.232
1418432768.000,2.937,0.228
1418432769.000,3.051,0.202
1418432770.000,3.021,0.208
1418432771.000,3.088,0.188
1418432772.000,3.289,0.153
1418432773.000,3.236,0.157
1418432774.000,3.038,0.199
1418432775.000,2.874,0.219
1418432776.000,3.210,0.163
1418432777.000,3.017,0.206
1418432778.000,2.901,0.236
1418432779.000,3.070,0.202
1418432780.000,3.160,0.184
1418432781.000,3.528,0.132
1418432782.000,3.548,0.138
1418432783.000,3.182,0.174
1418432784.000,2.930,0.213
1418432785.000,2.980,0.193
1418432786.000,3.170,0.169
1418432787.000,3.008,0.187
1418432788.000,3.088,0.174
1418432789.000,3.134,0.167
1418432790.000,3.126,0.169
1418432791.000,2.963,0.200
1418432792.000,3.163,0.162
1418432793.000,2.908,0.191
1418432794.000,2.674,0.237
1418432795.000,2.829,0.213
1418432796.000,2.938,0.184
1418432797.000,2.832,0.207
1418432798.000,2.784,0.198
1418432799.000,2.709,0.220
1418432800.000,2.253,0.146
1418432801.000,1.692,0.062
1418432802.000,1.776,0.051
1418432803.000,1.771,0.054
1418432804.000,1.761,0.052
1418432805.000,1.806,0.054
1418432806.000,1.759,0.062
1418432807.000,1.674,0.040
1418432808.000,1.708,0.048
1418432809.000,1.691,0.050
1418432810.000,1.673,0.055
1418432811.000,1.703,0.057
1418432812.000,1.687,0.056
1418432813.000,1.784,0.055
1418432814.000,1.943,0.044
1418432815.000,1.775,0.048
1418432816.000,1.822,0.046
1418432817.000,1.683,0.057
1418432818.000,1.691,0.049
1418432819.000,1.735,0.053
1418432820.000,1.703,0.050
1418432821.000,1.918,0.049
1418432822.000,1.661,0.050
1418432823.000,1.944,0.050
1418432824.000,2.013,0.039
1418432825.000,2.421,0.031
1418432826.000,2.414,0.033
1418432827.000,2.405,0.031
1418432828.000,2.435,0.033
1418432829.000,2.016,0.042
1418432830.000,1.744,0.053
1418432831.000,1.748,0.050
1418432832.000,1.796,0.052
1418432833.000,1.859,0.052
1418432834.000,1.779,0.049
1418432835.000,1.703,0.057
1418432836.000,1.790,0.052
1418432837.000,1.749,0.053
1418432838.000,1.697,0.055
1418432839.000,1.689,0.058
1418432840.000,1.707,0.056
1418432841.000,1.760,0.046
1418432842.000,1.877,0.045
1418432843.000,1.746,0.049
1418432844.000,1.696,0.057
1418432845.000,1.708,0.054
1418432846.000,1.925,0.044
1418432847.000,1.718,0.051
1418432848.000,1.980,0.038
1418432849.000,1.679,0.044
1418432850.000,1.768,0.041
1418432851.000,1.655,0.039
1418432852.000,1.694,0.047
1418432853.000,1.770,0.044
1418432854.000,1.708,0.051
1418432855.000,1.761,0.055
1418432856.000,1.699,0.058
1418432857.000,1.831,0.046
1418432858.000,1.636,0.050
1418432859.000,1.714,0.058
1418432860.000,1.719,0.052
1418432861.000,1.806,0.054
1418432862.000,1.693,0.050
1418432863.000,1.787,0.055
1418432864.000,1.781,0.056
1418432865.000,1.791,0.057
1418432866.000,1.824,0.045
1418432867.000,1.670,0.057
1418432868.000,1.708,0.063
1418432869.000,1.796,0.055
1418432870.000,1.882,0.046
1418432871.000,1.832,0.049
1418432872.000,1.709,0.060
1418432873.000,1.841,0.047
1418432874.000,1.795,0.050
1418432875.000,1.756,0.054
1418432876.000,1.769,0.053
1418432877.000,1.826,0.053
1418432878.000,1.719,0.056
1418432879.000,1.748,0.057
1418432880.000,1.700,0.056
1418432881.000,1.955,0.044
1418432882.000,1.777,0.053
1418432883.000,1.759,0.057
1418432884.000,1.746,0.054
1418432885.000,1.744,0.049
1418432886.000,1.718,0.052
1418432887.000,1.595,0.061
1418432888.000,1.697,0.051
1418432889.000,1.854,0.053
1418432890.000,1.803,0.055
1418432891.000,1.605,0.045
1418432892.000,1.654,0.048
1418432893.000,1.724,0.046
1418432894.000,1.688,0.057
1418432895.000,1.687,0.052
1418432896.000,1.687,0.051
1418432897.000,1.702,0.045
1418432898.000,1.716,0.048
1418432899.000,1.690,0.046
1418432900.000,1.783,0.049
1418432901.000,1.688,0.052
1418432902.000,1.834,0.044
1418432903.000,1.807,0.052
1418432904.000,1.695,0.052
1418432905.000,1.855,0.045
1418432906.000,1.948,0.045
1418432907.000,1.935,0.042
1418432908.000,1.728,0.056
1418432909.000,1.716,0.045
1418432910.000,1.721,0.045
1418432911.000,1.765,0.046
1418432912.000,1.676,0.055
1418432913.000,1.704,0.050
1418432914.000,1.675,0.062
1418432915.000,1.672,0.051
1418432916.000,1.730,0.039
1418432917.000,1.606,0.043
1418432918.000,1.671,0.050
1418432919.000,1.761,0.041
1418432920.000,1.766,0.046
1418432921.000,1.678,0.050
1418432922.000,1.849,0.043
1418432923.000,1.684,0.053
1418432924.000,1.819,0.053
1418432925.000,1.789,0.050
1418432926.000,2.682,0.163
1418432927.000,2.601,0.229
1418432928.000,2.616,0.224
1418432929.000,2.877,0.198
1418432930.000,2.858,0.209
1418432931.000,3.452,0.134
1418432932.000,2.903,0.183
1418432933.000,2.787,0.220
1418432934.000,2.908,0.196
1418432935.000,2.776,0.221
1418432936.000,2.852,0.193
1418432937.000,2.693,0.233
1418432938.000,2.889,0.203
1418432939.000,2.759,0.220
1418432940.000,2.746,0.233
1418432941.000,2.998,0.193
1418432942.000,3.119,0.174
1418432943.000,3.191,0.172
1418432944.000,2.871,0.230
1418432945.000,2.899,0.236
1418432946.000,2.897,0.239
1418432947.000,2.835,0.240
1418432948.000,2.835,0.234
1418432949.000,2.855,0.231
1418432950.000,2.888,0.232
1418432951.000,2.989,0.195
1418432952.000,2.873,0.234
1418432953.000,2.843,0.240
1418432954.000,2.884,0.232
1418432955.000,2.896,0.235
1418432956.000,2.875,0.230
1418432957.000,2.867,0.234
1418432958.000,2.912,0.234
1418432959.000,2.876,0.238
1418432960.000,2.821,0.237
1418432961.000,2.864,0.230
1418432962.000,3.055,0.180
1418432963.000,3.240,0.165
1418432964.000,2.902,0.238
1418432965.000,2.883,0.242
1418432966.000,2.797,0.243
1418432967.000,3.054,0.194
1418432968.000,3.209,0.157
1418432969.000,3.187,0.165
1418432970.000,3.172,0.176
1418432971.000,2.932,0.219
1418432972.000,2.945,0.213
1418432973.000,2.843,0.213
1418432974.000,3.322,0.138
1418432975.000,3.100,0.158
1418432976.000,2.794,0.227
1418432977.000,3.070,0.163
1418432978.000,3.060,0.182
1418432979.000,3.431,0.129
1418432980.000,3.361,0.133
1418432981.000,3.214,0.165
1418432982.000,3.051,0.198
1418432983.000,2.934,0.230
1418432984.000,3.385,0.166
1418432985.000,3.364,0.159
1418432986.000,3.103,0.218
1418432987.000,3.085,0.215
1418432988.000,3.388,0.167
1418432989.000,3.193,0.193
1418432990.000,3.299,0.191
1418432991.000,3.589,0.135
1418432992.000,3.613,0.125
1418432993.000,3.548,0.132
1418432994.000,3.312,0.166
1418432995.000,2.969,0.270
1418432996.000,3.118,0.219
1418432997.000,3.407,0.174
1418432998.000,3.139,0.224
1418432999.000,3.036,0.235
1418433000.000,3.022,0.234
1418433001.000,2.937,0.258
1418433002.000,2.950,0.256
1418433003.000,3.049,0.211
1418433004.000,3.497,0.135
1418433005.000,3.132,0.203
1418433006.000,2.912,0.251
1418433007.000,2.929,0.250
1418433008.000,2.928,0.250
1418433009.000,2.951,0.255
1418433010.000,3.503,0.141
1418433011.000,3.247,0.194
1418433012.000,3.300,0.180
1418433013.000,3.372,0.157
1418433014.000,3.118,0.209
1418433015.000,3.043,0.262
1418433016.000,3.048,0.259
1418433017.000,3.259,0.193
1418433018.000,3.157,0.185
1418433019.000,3.129,0.209
1418433020.000,2.935,0.254
1418433021.000,3.305,0.180
1418433022.000,3.565,0.131
1418433023.000,3.534,0.132
1418433024.000,3.549,0.131
1418433025.000,3.551,0.131
1418433026.000,3.104,0.198
1418433027.000,2.995,0.214
1418433028.000,3.075,0.201
1418433029.000,3.079,0.206
1418433030.000,3.046,0.216
1418433031.000,3.244,0.181
1418433032.000,3.557,0.150
1418433033.000,3.204,0.175
1418433034.000,2.885,0.241
1418433035.000,2.869,0.243
1418433036.000,2.854,0.230
1418433037.000,3.407,0.142
1418433038.000,2.867,0.231
1418433039.000,2.804,0.243
1418433040.000,2.839,0.237
1418433041.000,2.130,0.146
1418433042.000,1.728,0.060
1418433043.000,1.767,0.053
1418433044.000,1.703,0.045
1418433045.000,1.730,0.052
1418433046.000,1.965,0.043
1418433047.000,1.660,0.049
1418433048.000,1.671,0.048
1418433049.000,1.730,0.052
1418433050.000,1.654,0.046
1418433051.000,1.893,0.046
1418433052.000,1.832,0.050
1418433053.000,1.763,0.048
1418433054.000,1.716,0.056
1418433055.000,1.749,0.051
1418433056.000,1.679,0.045
1418433057.000,1.736,0.058
1418433058.000,1.718,0.050
1418433059.000,1.797,0.050
1418433060.000,1.735,0.056
1418433061.000,1.671,0.056
1418433062.000,1.596,0.072
1418433063.000,1.716,0.052
1418433064.000,1.793,0.044
1418433065.000,1.793,0.050
1418433066.000,1.701,0.052
1418433067.000,1.793,0.044
1418433068.000,1.979,0.044
1418433069.000,1.703,0.053
1418433070.000,1.728,0.049
1418433071.000,1.771,0.054
1418433072.000,1.724,0.051
1418433073.000,1.758,0.047
1418433074.000,1.725,0.057
1418433075.000,1.720,0.051
1418433076.000,1.713,0.055
1418433077.000,1.874,0.052
1418433078.000,1.771,0.050
1418433079.000,1.703,0.056
1418433080.000,1.974,0.040
1418433081.000,1.679,0.053
1418433082.000,2.077,0.040
1418433083.000,2.263,0.033
1418433084.000,1.695,0.056
1418433085.000,1.883,0.047
1418433086.000,1.684,0.052
1418433087.000,1.925,0.039
1418433088.000,1.762,0.057
1418433089.000,1.711,0.041
1418433090.000,1.713,0.034
1418433091.000,1.751,0.044
1418433092.000,1.687,0.044
1418433093.000,1.633,0.041
1418433094.000,1.752,0.044
1418433095.000,1.679,0.052
1418433096.000,1.851,0.046
1418433097.000,1.959,0.039
1418433098.000,1.779,0.055
1418433099.000,1.702,0.053
1418433100.000,1.861,0.046
1418433101.000,1.699,0.049
1418433102.000,1.732,0.044
1418433103.000,1.726,0.051
1418433104.000,1.739,0.056
1418433105.000,1.697,0.051
1418433106.000,1.871,0.054
1418433107.000,1.765,0.053
1418433108.000,1.760,0.038
1418433109.000,1.713,0.047
1418433110.000,1.825,0.035
1418433111.000,2.139,0.032
1418433112.000,1.679,0.046
1418433113.000,1.673,0.045
1418433114.000,1.713,0.053
1418433115.000,1.788,0.043
1418433116.000,1.753,0.045
1418433117.000,1.686,0.048
1418433118.000,1.915,0.042
1418433119.000,1.808,0.046
1418433120.000,1.918,0.045
1418433121.000,1.674,0.048
1418433122.000,1.742,0.053
1418433123.000,1.803,0.043
1418433124.000,1.671,0.046
1418433125.000,1.715,0.055
1418433126.000,1.644,0.044
1418433127.000,1.779,0.041
1418433128.000,1.756,0.042
1418433129.000,1.682,0.046
1418433130.000,1.847,0.046
1418433131.000,1.628,0.039
1418433132.000,1.673,0.046
1418433133.000,1.865,0.040
1418433134.000,1.753,0.046
1418433135.000,1.682,0.049
1418433136.000,1.697,0.049
1418433137.000,1.946,0.042
1418433138.000,1.858,0.041
1418433139.000,1.735,0.040
1418433140.000,1.746,0.040
1418433141.000,1.664,0.043
1418433142.000,1.697,0.045
1418433143.000,1.810,0.041
1418433144.000,1.806,0.038
1418433145.000,1.711,0.050
1418433146.000,1.652,0.044
1418433147.000,1.825,0.041
1418433148.000,1.658,0.047
1418433149.000,1.781,0.042
1418433150.000,1.705,0.048
1418433151.000,1.768,0.041
1418433152.000,2.022,0.034
1418433153.000,1.701,0.037
1418433154.000,1.769,0.041
1418433155.000,1.967,0.038
1418433156.000,1.861,0.044
1418433157.000,1.675,0.051
1418433158.000,1.838,0.042
1418433159.000,1.727,0.044
1418433160.000,1.717,0.048
1418433161.000,1.836,0.039
1418433162.000,1.708,0.047
1418433163.000,1.688,0.056
1418433164.000,1.790,0.047
1418433165.000,1.971,0.041
1418433166.000,1.751,0.053
1418433167.000,2.026,0.194
1418433168.000,2.278,0.189
1418433169.000,2.595,0.214
1418433170.000,3.113,0.159
1418433171.000,3.245,0.156
1418433172.000,3.164,0.164
1418433173.000,2.946,0.179
1418433174.000,2.803,0.223
1418433175.000,2.814,0.217
1418433176.000,2.774,0.218
1418433177.000,3.125,0.157
1418433178.000,2.958,0.186
1418433179.000,2.731,0.231
1418433180.000,2.787,0.228
1418433181.000,2.818,0.237
1418433182.000,2.874,0.238
1418433183.000,2.857,0.240
1418433184.000,2.881,0.229
1418433185.000,2.891,0.241
1418433186.000,2.933,0.227
1418433187.000,2.938,0.234
1418433188.000,3.419,0.141
1418433189.000,3.545,0.132
1418433190.000,3.153,0.194
1418433191.000,3.034,0.213
1418433192.000,3.266,0.161
1418433193.000,3.167,0.190
1418433194.000,2.999,0.213
